Id,Name,Zone,Toldescribe,Description,Tel,Add,Zipcode,Region,Town,Travellinginfo,Opentime,Picture1,Picdescribe1,Picture2,Picdescribe2,Picture3,Picdescribe3,Map,Gov,Px,Py,Orgclass,Class1,Class2,Class3,Level,Website,Parkinginfo,Parkinginfo_Px,Parkinginfo_Py,Ticketinfo,Remarks,Keyword,Changetime
C1_313020000G_000026,宏亞食品巧克力觀光工廠,,宏亞食品巧克力觀光工廠是一座以巧克力為主題的觀光工廠，建築設計、展場文字、陳列物、戶外景觀及相關造型皆與巧克力密不可分，全棟為綠建築，展場設計依照建築外觀之透光與否進行規劃，節能省碳，此外，展場更提供豐富的巧克力相關知識(含巧克力3500年歷史)為一寓教於樂之專業型廠館，是休閒娛樂絕佳去處。,巧克力共和國是一座以巧克力為主題的觀光工廠，建築設計、館內主題設計皆以巧克力為主題，這裡也提供豐富的巧克力相關知識，亦可以DIY創作巧克力，為一寓教於樂、適合親子休閒娛樂的絕佳去處。,886-3-3656555,桃園縣八德市建國路386號,33451,桃園市,八德區,,,https://www.ta-mag.net/photos/images/1c91d8a8b13134c8c78067c0b434fc33.jpg,,,,,,,313020000G,121.297187,24.943325,觀光工廠,1,14,,9,,,121.297187,24.943325,收費方式請電洽,詳細參觀訊息請逕洽廠商網站說明,桃園，宏亞，巧克力，觀光工廠,2013/7/13 15:00
C1_313020000G_000136,臺灣菸酒(股)公司林口觀光酒廠,,林口酒廠為擁有近百年歷史的台北酒廠(1921)、板橋酒廠(1937)、樹林酒廠(1906)合併而成的新酒廠，於民國76年春正式啟用量產。原三酒廠各具有不同產品與文化特色，合併後發展為北部地區產能最大、設備最現代化的米糧釀造酒生產工廠。 林口酒廠成立以來一直是以生產紹興酒為主，民國85年利用原紹興酒生產設備釀製日式清酒，成功推出「玉泉清酒」，為全國唯一生產日式清酒之酒廠。民國93年為解決清酒粕副產物問題，開發「台酒清酒粕面膜」產品，定位為天然護膚保養素材，盛況一時，被喻為「窮人的SKII」。民國94年再創新研發，結合東方紅麴與西方葡萄酒，推出具養生概念且適合台灣人口味的「玉泉紅麴葡萄酒」，深獲社會大眾喜愛，為台灣市佔率最高的葡萄酒品牌。 林口酒廠不但致力各項酒類研發，生產方式也變得更加多元。民國96年將釀酒紅麴與餅乾大廠合作開發「台酒紅麴養生薄餅」，風味獨特造成搶購熱潮，風行海內外，短短1年半內創造超過10億元營業額，成為餅乾界之奇蹟。為朝多角化經營，除從事酒品生產外並設置有展售中心，內設「清酒館」「紅麴館」「酒銀行」等製程展館，開放民眾或外來觀光客參觀，一方面讓參訪者可了解製酒的過程與歷史，一方面也促使林口酒廠與工業區內其他景點(如台塑文物館、竹林寺、台塑醫療園區、華亞科技園區等)以及鄰近之鶯歌鎮產業等連結，形成地方產業文化觀光特色主題，除帶動產業觀光，更提昇桃園縣觀光旅遊系統的豐富性。 林口酒廠為配合公司資產活化政策，結合桃園縣推展航空城計畫以及機場捷運線開通啟用，集酒類生產、產業歷史、市場地利等基礎，結合產業文化、創意藝術、人文等資源以塑造工廠公園化，打造清酒意象文化園區，串聯週邊城廓、名勝、景點及公共設施，建構成北部地區指標性之觀光酒廠，期能吸引北臺灣800萬人口，來廠觀光遊憩進而增裕營收。,林口酒廠為北部地區產能最大、設備最現代化的清酒、紅麴葡萄酒生產工廠。廠內有產品推廣中心，開放參觀製酒過程與歷史，與桃園其他景點連結地方文化特色主題，帶動觀光提昇旅遊的豐富性。,886-3-3283001#430,桃園縣龜山鄉文化一路55號,333,桃園市,龜山區,,,https://travel.tycg.gov.tw/content/images/attractions/18953/1024x768_files636173280993791010.jpg,,,,,,,313020000G,121.375231,25.056168,觀光工廠,1,14,,9,,,121.375231,25.056168,收費方式請電洽,詳細參觀訊息請逕洽廠商網站說明,林口，菸酒，酒廠，觀光工廠,2013/7/13 15:00
C1_371020000A_000376,邱良功古厝,,這棟建築乃為邱良功祖厝，位於金城鎮浯江街中段，屋中尚存有方形銅鏡一面，另有雕龍聖旨石二塊，高六十一公分、寬八十五公分，所刻聖旨二字每字十二公分見方，據傳係良功顯貴封爵，皇帝聞其家屋簡陋，賜建爵府，故贈予聖旨石二塊，預備置於府第大門前坊，建築物為一落四櫸頭＋左突歸+牆規。,這棟建築乃為邱良功祖厝，位於金城鎮浯江街中段，屋中尚存有方形銅鏡一面，另有雕龍聖旨石二塊，高六十一公分、寬八十五公分，所刻聖旨二字每字十二公分見方，據傳係良功顯貴封爵，皇帝聞其家屋簡陋，賜建爵府，故贈予聖旨石二塊，預備置於府第大門前坊，建築物為一落四櫸頭＋左突歸+牆規。,886-8-2328638,金門縣893金城鎮浯江街27號,893,金門縣,金城鎮,,全天,,,,,,,,371020000A,118.31778,24.43263,,3,,,,,,,,免費,,,2024/6/17 17:03
C1_371020000A_000377,陳詩吟洋樓,,"陳詩吟洋樓為清朝末年(1903)金門高坑人陳詩吟前往新加坡、印尼經商致富，於民國21年(1932)間，斥資30,000銀元建屋。於95年被列為縣定古蹟。整體建築為出龜洋樓，本體牆身材料為磚牆、平砌石牆；屋身構造為硬山擱檁，亦有後落的配置，規模宏大。洋裝飾精緻，有南洋風十足的窗楣百葉窗，正面山頭有雙龍拱仙女、柱頭、簷飾帶等處展現中西各異的主題；洋樓裡最可貴的建築裝飾是山頭壁面的「憨番抬厝角」及「印度番庸鼓勵人偶盤托仙桃」。","陳詩吟洋樓為清朝末年(1903)金門高坑人陳詩吟前往新加坡、印尼經商致富，於民國21年(1932)間，斥資30,000銀元建屋。於95年被列為縣定古蹟。整體建築為出龜洋樓，本體牆身材料為磚牆、平砌石牆；屋身構造為硬山擱檁，亦有後落的配置，規模宏大。洋裝飾精緻，有南洋風十足的窗楣百葉窗，正面山頭有雙龍拱仙女、柱頭、簷飾帶等處展現中西各異的主題；洋樓裡最可貴的建築裝飾是山頭壁面的「憨番抬厝角」及「印度番庸鼓勵人偶盤托仙桃」。",886-8-2328638,金門縣893金城鎮珠浦東路44號,893,金門縣,金城鎮,,未開放,,,,,,,,371020000A,118.31773,24.43153,,3,,,,,,,,免費,,,2024/6/17 16:48
C1_371020000A_000386,朱子祠,,金門朱子祠，立於清康熙二十六年（1687年），設於浯江書院內。乾隆三十五年（1770年），通判程煜以書院狹隘，倡議興建堂廡，但因離任而未成。後由仕紳黃汝試買下，改作書院，並奉祀朱子、魁星、文昌帝君、福德正神，以及金門鄉賢許升、呂大奎、林希元、王力行、丘葵、許獬等。乾隆四十六年1781年），書院原址被徵收為縣丞署，在西側之義學原址，重新闢建為書院及朱子祠。朱子祠為三開間之歇山重簷建築，四周有檐廊，前有月臺伸出，供接詔行禮之用，簡樸莊嚴。現範圍內有道光十八年（1838年）的「浯江書院膏火碑記」、「捐克膏火芳名錄」，以及大門上方懸有漢學大師錢穆所題之「朱子祠」三字匾額，均為珍貴文物。,金門朱子祠，立於清康熙二十六年（1687年），設於浯江書院內。乾隆三十五年（1770年），通判程煜以書院狹隘，倡議興建堂廡，但因離任而未成。後由仕紳黃汝試買下，改作書院，並奉祀朱子、魁星、文昌帝君、福德正神，以及金門鄉賢許升、呂大奎、林希元、王力行、丘葵、許獬等。乾隆四十六年1781年），書院原址被徵收為縣丞署，在西側之義學原址，重新闢建為書院及朱子祠。朱子祠為三開間之歇山重簷建築，四周有檐廊，前有月臺伸出，供接詔行禮之用，簡樸莊嚴。現範圍內有道光十八年（1838年）的「浯江書院膏火碑記」、「捐克膏火芳名錄」，以及大門上方懸有漢學大師錢穆所題之「朱子祠」三字匾額，均為珍貴文物。,886-8-2328638,金門縣893金城鎮珠埔北路36號,893,金門縣,金城鎮,,每日08:00-21:00,,,,,,,,371020000A,118.31728,24.43454,,3,,,,,,,,免費,,,2024/6/12 15:14
C1_371020000A_000387,黃偉墓,,黃偉，字孟偉，號逸叟，別號逸所，汶水頭（今後水頭）人，生於明弘治元年（1488年），曾任泉州府吏，正德九年（1514年）進士，初授南京刑部主事，治獄以清、慎、明、恕著稱，後升至南雄知府，省徭役、明禮教、禁游女、去淫祠，因當道所荐而改知松江府，屢有治績。後因直疏無諱，不附和當道，返鄉養親講學。在黃偉的影響下，民風習俗丕變，金門民間有「文章許鐘斗，品德黃逸叟」之俗諺，並稱誦其為「品德完人」，亦被列為溫陵十子之一。嘉靖十六年（1537年），泉州大饑，巡按李元陽請黃偉、許福及俞大猷代行賑災，黃偉殫精竭力而勞瘁成疾，終於次年三月十七日卒。黃偉墓造於嘉靖十七年（1538年），坐落在太武山北麓「斗門重劃區」的坡地上，位置在後水頭與斗門兩村間，因穴形如鳥張翼狀，穴稱「飛鴉落田」，氣勢頗為雄偉。前臨平疇，有斗門溪與金沙溪自二側緩緩流過，再會聚於墓前方不遠，背負太武山，以福建海岸諸峰為朝山，當時被列為金門四大風水吉地之一。大部分墓塚均在墓之最後方，而黃偉墓之最後方卻是正身的護牆，墓塚分成二層，底層用一整塊之石材雕成，中間部分凸出如口字型，上層再蓋以如覆斗式的凸字型石塊，此即金門俗稱之官印式「墓龜」。塚前端兩旁各有一堵板狀石欄浮雕，墓之最後方為全墓園最高的正身護牆。從塋心所在面低降二階是墓桌，其正面以浮雕的竹節區隔成三堵，中為持扇的仙人，配以相望的鹿和鶴，寓意福、祿、壽，二側分別浮雕鯉魚躍龍門和鳳凰圖案。墓桌二側伸出層層外推得二道墓手，第二墓手間的明堂為祭祀空間；第三道墓手的內側各有一條石椅，供祭祀的後人可以歇息，此石椅之設置是他墓少見的，墓前有石馬、石虎和石望柱各一對，但現今墓已無望柱，應為圯毀。墓地東北方的不遠的金沙溪畔，有倒地之石碑一塊，上半部所雕之字已磨損無存，下半部清晰可見，刻工極高，其上記載黃偉之生平事蹟，碑文尾端刻金貴享撰，金氏乃黃偉任松江知府所提拔之門生，曾多次來金碣訪。此碑原有碑亭保護，可惜亭已被毀。墓道碑原立於斗門村邊之古道旁，但民國七十六年（1987年）土地重劃後，已不再路旁，漸被樹叢所遮掩。碑額橫刻「大明」二字，碑文為「中順大夫松江府致仕知府黃公暨安人陳氏墓道」，為明代四品官墓之形制，在全島的明墓中，此墓特色獨具。,黃偉，字孟偉，號逸叟，別號逸所，汶水頭（今後水頭）人，生於明弘治元年（1488年），曾任泉州府吏，正德九年（1514年）進士，初授南京刑部主事，治獄以清、慎、明、恕著稱，後升至南雄知府，省徭役、明禮教、禁游女、去淫祠，因當道所荐而改知松江府，屢有治績。後因直疏無諱，不附和當道，返鄉養親講學。在黃偉的影響下，民風習俗丕變，金門民間有「文章許鐘斗，品德黃逸叟」之俗諺，並稱誦其為「品德完人」，亦被列為溫陵十子之一。嘉靖十六年（1537年），泉州大饑，巡按李元陽請黃偉、許福及俞大猷代行賑災，黃偉殫精竭力而勞瘁成疾，終於次年三月十七日卒。黃偉墓造於嘉靖十七年（1538年），坐落在太武山北麓「斗門重劃區」的坡地上，位置在後水頭與斗門兩村間，因穴形如鳥張翼狀，穴稱「飛鴉落田」，氣勢頗為雄偉。前臨平疇，有斗...,886-8-2318823,金門縣890金沙鎮後浦頭烏鴉落田,890,金門縣,金沙鎮,,全天,,,,,,,,371020000A,118.41067,24.4783,,3,,,,,,,,免費,,,2024/6/12 15:14
C1_371020000A_000388,黃宣顯六路大厝,,黃宣顯生於乾隆中葉，父親官拜翰外郎，後代子孫經商南洋，亦卓然有成。黃宅屬於五開間加掛左右雙護龍閩式建築，號稱六路大宅。前後落一條龍燕脊與硬山馬背協調銜接，立面格扇飾以精巧木雕，水車堵上飾有福祿花鳥等彩繪與剪貼，在在展示鄉僑實力與光完耀袓的情懷。,黃宣顯生於乾隆中葉，父親官拜翰外郎，後代子孫經商南洋，亦卓然有成。黃宅屬於五開間加掛左右雙護龍閩式建築，號稱六路大宅。前後落一條龍燕脊與硬山馬背協調銜接，立面格扇飾以精巧木雕，水車堵上飾有福祿花鳥等彩繪與剪貼，在在展示鄉僑實力與光完耀袓的情懷。,886-8-2318823,金門縣890金沙鎮汶沙里后浦頭3號,890,金門縣,金沙鎮,,全天,,,,,,,,371020000A,118.41471,24.48706,,3,,,,,,,,免費,,,2024/6/17 17:19
C1_371020000A_000389,莒光樓,,面臨金城美景，背擁豐蓮山脈，初訪金門，必定要登上莒光樓遠眺金門風光！莒光樓做為金門的精神象徵，以中國傳統建築的作法，將傳統城樓放在現代建築的基座之上，締造一項獨特建築美感?這座建築建於西元1952年，用以表彰在金門歷次戰役中英勇官兵之事蹟，樓高三層，每層皆有不同的展示主題，最著名莫過於胡璉將軍的青天白日勳章了。自西元1959~64年間，莒光樓四度被中華民國郵政總局做為郵票的主題，郵件遍及海內外，與「毋忘在莒」勒石同樣成為戰地金門著名的地標性建築，也是當時金門的最佳代言人。展示內容??1樓主樓展示區：風獅爺、民俗物品、傳統聚落、金門高粱酒、金門鋼刀。??2樓展示區：金門人文風景照片。??3樓展示區：胡璉將軍展示、免費的望遠鏡遠看廈門。導覽影片??影片名稱：金門觀光簡介??片長：約15分鐘??播放時間：上午：08:40(配合觀光公車)、09:00、09:30、10:00、10:30、11:00、11:30。下午：13:00、13:30、14:00、14:30、15:00、15:30、16:00、16:30、17:00。定點解說服務時間9:20、10:20、11:20、13:30、14:30、15:30、16:30、17:30、19:00、20:00、 21:00 無障礙設施輪椅租借、無障礙廁所、愛心鈴、哺(集)乳室、無障礙坡道,面臨金城美景，背擁豐蓮山脈，初訪金門，必定要登上莒光樓遠眺金門風光！莒光樓做為金門的精神象徵，以中國傳統建築的作法，將傳統城樓放在現代建築的基座之上，締造一項獨特建築美感?這座建築建於西元1952年，用以表彰在金門歷次戰役中英勇官兵之事蹟，樓高三層，每層皆有不同的展示主題，最著名莫過於胡璉將軍的青天白日勳章了。自西元1959~64年間，莒光樓四度被中華民國郵政總局做為郵票的主題，郵件遍及海內外，與「毋忘在莒」勒石同樣成為戰地金門著名的地標性建築，也是當時金門的最佳代言人。展示內容??1樓主樓展示區：風獅爺、民俗物品、傳統聚落、金門高粱酒、金門鋼刀。??2樓展示區：金門人文風景照片。??3樓展示區：胡璉將軍展示、免費的望遠鏡遠看廈門。導覽影片??影片名稱：金門觀光簡介??片長：約15分鐘??播...,886-8-2325632,金門縣893金城鎮賢城路1號,893,金門縣,金城鎮,自尚義機場搭往金城的3號公車，於莒光樓站下車。,每日08:00-22:00,,,,,,,,371020000A,118.319,24.42497,,3,,,,,,,,免費,,,2024/6/20 17:10
C1_371020000A_000391,奎閣(魁星樓),,奎閣，金門人稱『魁星樓』，又名奎樓或八卦樓，祭拜魁星，魁星是中國五文昌之一，由於金門以前不屬縣，不可以建孔廟，為了讓金門由子弟參加科舉考試前，有一個祈求考運的地方，後浦鄉賢、曾得過「貢生」功名的林斐章倡建，獨資捐銀千兩，於清朝道光16年（1836）在後浦塗山頭（現今的陳詩吟洋樓旁）興建一座的樓閣建築，供奉魁星爺；精巧古樸至今已有一百八十多年的歷史，曾在民國44年及52年兩次重修，但卻不改原貌，列為縣定古蹟。奎閣是一棟二樓三簷正六角形建築，整體結構採凸顯簡潔明快的木結構技術，映照著這幢文教建築的質樸。每年考季來臨，都會舉辦一系列的祭拜活動，祈求考生都能心想事成，金榜題名。,奎閣，金門人稱『魁星樓』，又名奎樓或八卦樓，祭拜魁星，魁星是中國五文昌之一，由於金門以前不屬縣，不可以建孔廟，為了讓金門由子弟參加科舉考試前，有一個祈求考運的地方，後浦鄉賢、曾得過「貢生」功名的林斐章倡建，獨資捐銀千兩，於清朝道光16年（1836）在後浦塗山頭（現今的陳詩吟洋樓旁）興建一座的樓閣建築，供奉魁星爺；精巧古樸至今已有一百八十多年的歷史，曾在民國44年及52年兩次重修，但卻不改原貌，列為縣定古蹟。奎閣是一棟二樓三簷正六角形建築，整體結構採凸顯簡潔明快的木結構技術，映照著這幢文教建築的質樸。每年考季來臨，都會舉辦一系列的祭拜活動，祈求考生都能心想事成，金榜題名。,886-8-2328638,金門縣893金城鎮珠浦東路43號前,893,金門縣,金城鎮,,星期日：08:00 – 12:00、13:30 – 17:30星期一：08:00 – 12:00、13:30 – 17:30星期二：08:00 – 12:00、13:30 – 17:30星期三：08:00 – 12:00、13:30 – 17:30星期四：08:00 – 12:00、13:30 – 17:30星期五：08:00 – 12:00、13:30 – 17:30星期六：08:00 – 12...,,,,,,,,371020000A,118.3178,24.43133,,3,,,,,,,,免費,,,2024/6/17 17:20
C1_371020000A_000392,瓊林蔡氏家廟,,創建於明嘉靖8年(1529年)，其建築內外的華麗藻飾堪稱金門宗祠之冠，屋脊、山牆、水車堵上均有精緻剪黏及泥塑可賞，通樑下的雀替雕有蔡氏祖訓忠、孝、廉、節四字，正殿高懸眾多牌匾，顯示著世族顯赫；屋後外牆嵌有一尊風獅爺，為少見的作法。,創建於明嘉靖8年(1529年)，其建築內外的華麗藻飾堪稱金門宗祠之冠，屋脊、山牆、水車堵上均有精緻剪黏及泥塑可賞，通樑下的雀替雕有蔡氏祖訓忠、孝、廉、節四字，正殿高懸眾多牌匾，顯示著世族顯赫；屋後外牆嵌有一尊風獅爺，為少見的作法。,886-8-2313100,金門縣891金湖鎮瓊林村155號附近,891,金門縣,金湖鎮,自金城車站搭乘1A、2路，至瓊林一站下車，或搭乘5、5A路至瓊林圓環站，循指標即可抵達。,全天,,,,,,,,371020000A,118.37399,24.45444,,3,,,,,,,,免費,,,2024/6/17 17:01
